Movie Name       Days from Release       Days       Box Office Collection 
Luka Chuppi          Day 1                 02-03-2019                      80100000             
Luka Chuppi          Day 2                 03-03-2019                      100800000            
Luka Chuppi          Day 3                 04-03-2019                      140400000            
Luka Chuppi          Day 4                 05-03-2019                      79000000             
Luka Chuppi          Day 5                 06-03-2019                      50400000             
Luka Chuppi          Day 6                 07-03-2019                      46000000             
Luka Chuppi          Day 7                 08-03-2019                      40300000             
Luka Chuppi          Day 8                 09-03-2019                      31500000             
Luka Chuppi          Day 9                 10-03-2019                      52000000             
Luka Chuppi          Day 10                11-03-2019                      53099999             
Luka Chuppi          Day 11                12-03-2019                      20500000             
Luka Chuppi          Day 12                13-03-2019                      20700000             
Luka Chuppi          Day 13                14-03-2019                      19600000             
Luka Chuppi          Day 14                15-03-2019                      18000000             
Luka Chuppi          Day 15                16-03-2019                      16200000             
Luka Chuppi          Day 16                17-03-2019                      22500000             
Luka Chuppi          Day 17                18-03-2019                      34000000             
Luka Chuppi          Day 18                19-03-2019                      13300000             
Luka Chuppi          Day 19                20-03-2019                      13500000             
Luka Chuppi          Day 20                21-03-2019                      11700000             
Luka Chuppi          Day 21                22-03-2019                      6300000              
Luka Chuppi          Day 22                23-03-2019                      6100000              
Luka Chuppi          Day 23                24-03-2019                      8100000              
Luka Chuppi          Day 24                25-03-2019                      9700000              
Luka Chuppi          Day 25                26-03-2019                      4300000              
Luka Chuppi          Day 26                27-03-2019                      3600000              
Luka Chuppi          Day 27                28-03-2019                      4300000              
Luka Chuppi          Day 28                29-03-2019                      4300000              
Luka Chuppi          Day 29                30-03-2019                      2500000              
Luka Chuppi          Day 30                31-03-2019                      3400000              
Luka Chuppi          Day 31                01-04-2019                      4300000              
Luka Chuppi          Day 32                02-04-2019                      1800000              
Luka Chuppi          Day 33                03-04-2019                      1600000              
Luka Chuppi          Day 34                04-04-2019                      1600000              
Luka Chuppi          Day 35                05-04-2019                      1800000              
Luka Chuppi          Day 36 - Day 42       06-04-2019 - 12-04-2019         9700000              
Luka Chuppi          Day 43 - Day 45       13-04-2019 - 15-04-2019         4500000              
Luka Chuppi          Day 46 - Day 49       16-04-2019 - 19-04-2019         5000000              
Luka Chuppi          Day 50 - Day 56       20-04-2019 - 26-04-2019         800000               
Luka Chuppi          Day 57 - Day 63       27-04-2019 - 03-05-2019         200000               
Movie Name       Days from Release       Days       Box Office Collection 
Badla                Day 1                 09-03-2019                      50400000             
Badla                Day 2                 10-03-2019                      85500000             
Badla                Day 3                 11-03-2019                      96100000             
Badla                Day 4                 12-03-2019                      37500000             
Badla                Day 5                 13-03-2019                      38500000             
Badla                Day 6                 14-03-2019                      35500000             
Badla                Day 7                 15-03-2019                      36500000             
Badla                Day 8                 16-03-2019                      40500000             
Badla                Day 9                 17-03-2019                      67000000             
Badla                Day 10                18-03-2019                      82200000             
